route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
18913,DART,001,WYNNEWOOD/MOCKINGBIRD STATION,null,3,null,0099CC,FFFFFF
18914,DART,002,HATCHER,null,3,null,0099CC,FFFFFF
18915,DART,011,JEFFERSON/BEXAR STREET,null,3,null,0099CC,FFFFFF
18916,DART,012,WESTMOUNT/HATCHER STATION,null,3,null,0099CC,FFFFFF
18917,DART,019,ANN ARBOR/LAKEWOOD,null,3,null,0099CC,FFFFFF
18918,DART,021,RED BIRD TRANSIT CENTER,null,3,null,0099CC,FFFFFF
18919,DART,024,MOCK STA/CAPITOL-McMILLAN,null,3,null,0099CC,FFFFFF
18920,DART,026,HATCHER STATION,null,3,null,0099CC,FFFFFF
18921,DART,027,HINES/PARKLAND RAIL STATION,null,3,null,0099CC,FFFFFF
18922,DART,029,BACHMAN VIA MAPLE,null,3,null,0099CC,FFFFFF
18923,DART,031,MIDWAY-BACHMAN,null,3,null,0099CC,FFFFFF
18924,DART,035,BERNAL - SINGLETON / CROZIER,null,3,null,0099CC,FFFFFF
18925,DART,036,ADDISON TC VIA PRESTON,null,3,null,0099CC,FFFFFF
18926,DART,039,INWOOD/ LOVE FIELD STATION,null,3,null,0099CC,FFFFFF
18927,DART,042,HAMPTON STATION,null,3,null,0099CC,FFFFFF
18928,DART,052,SINGLETON / BICKERS,null,3,null,0099CC,FFFFFF
18929,DART,059,WEST DALLAS,null,3,null,0099CC,FFFFFF
18930,DART,060,SOUTH GARLAND T.C./UNION STATION,null,3,null,0099CC,FFFFFF
18931,DART,063,DOWNTOWN IRVING STA VIA IRVING BLVD,null,3,null,0099CC,FFFFFF
18932,DART,076,MOCKINGBIRD STATION,null,3,null,0099CC,FFFFFF
18933,DART,110,LA PRADA/EASTFIELD COLLEGE,null,3,null,0099CC,FFFFFF
18934,DART,111,SKYLINE H.S.,null,3,null,0099CC,FFFFFF
18935,DART,155,PAUL QUINN/BONNIE VIEW,null,3,null,0099CC,FFFFFF
19132,DART,161,GLEN OAKS,null,3,null,0099CC,FFFFFF
18937,DART,164,WOODMEADOW-S GARLAND,null,3,null,0099CC,FFFFFF
18938,DART,183,ADDISON TC/NW PLANO P&R,null,3,null,0099CC,FFFFFF
18946,DART,205,ADDISON TC EXPRESS,null,3,null,009933,FFFFFF
18947,DART,206,GLENN HEIGHTS EXPRESS,null,3,null,009933,FFFFFF
18948,DART,208,NORTHWEST PLANO PARK & RIDE,null,3,null,009933,FFFFFF
18949,DART,210,JACK HATCHELL EXPRESS,null,3,null,009933,FFFFFF
18950,DART,211,LEGACY/TOYOTA,null,3,null,009933,FFFFFF
18953,DART,278,REDBIRD EXPRESS,null,3,null,009933,FFFFFF
18954,DART,282,MESQUITE/LAWVIEW STATION,null,3,null,009933,FFFFFF
18955,DART,283,LAKE RAY HUBBARD EXPRESS,null,3,null,009933,FFFFFF
18956,DART,333,FRANKFORD/ADDISON TRANSIT CENTER,null,3,null,0099CC,FFFFFF
18957,DART,346,LEGACY WEST,null,3,null,0099CC,FFFFFF
18958,DART,347,ADDISON TC/N.W. PLANO P&R,null,3,null,0099CC,FFFFFF
18959,DART,350,ADDISON TC - COLLIN COUNTY COLLEGE,null,3,null,0099CC,FFFFFF
18960,DART,360,LOOKOUT-PLANO RD/FOREST LANE STA,null,3,null,0099CC,FFFFFF
18961,DART,361,ARAPAHO CTR/ADDISON TC VIA ARAPAHO,null,3,null,0099CC,FFFFFF
18962,DART,362,ADDISON/ARAPAHO CTR VIA CAMPBELL,null,3,null,0099CC,FFFFFF
18963,DART,372,ARAPAHO CTR/SOUTH GARLAND,null,3,null,0099CC,FFFFFF
18964,DART,374,LBJ/SKILLMAN - WOODMEADOW,null,3,null,0099CC,FFFFFF
18965,DART,376,COCKRELL HILL/LOOP 12,null,3,null,0099CC,FFFFFF
18966,DART,377,DT GARLAND/S GARLAND VIA SATURN,null,3,null,0099CC,FFFFFF
18967,DART,378,DT GARLAND/SOUTH GARLAND T.C.,null,3,null,0099CC,FFFFFF
18968,DART,380,DT GARLAND/S GARLAND VIA FIRST,null,3,null,0099CC,FFFFFF
18969,DART,385,CHAHA/LAKE RAY HUBBARD T.C.,null,3,null,0099CC,FFFFFF
18970,DART,400,URBAN CTR. STA/DTWN GARLAND STATION,null,3,null,0099CC,FFFFFF
18971,DART,401,DOWNTOWN IRVING/VALLEY RANCH,null,3,null,0099CC,FFFFFF
18972,DART,404,WESTMORELAND STA/PARKLAND,null,3,null,0099CC,FFFFFF
18973,DART,405,PARKLAND-LEDBETTER STATION,null,3,null,0099CC,FFFFFF
18974,DART,408,DFW-PARKLAND STATION,null,3,null,0099CC,FFFFFF
18975,DART,409,ILLINOIS STATION - PARKLAND,null,3,null,0099CC,FFFFFF
18976,DART,410,PARKER RD STA /S GARLAND TC,null,3,null,0099CC,FFFFFF
18977,DART,415,LEDBETTER STA/SW CENTER MALL,null,3,null,0099CC,FFFFFF
18978,DART,428,SOUTH GARLAND/BACHMAN STATION,null,3,null,0099CC,FFFFFF
18979,DART,444,LEDBETTER STA-COCKRELL HILL,null,3,null,0099CC,FFFFFF
18980,DART,445,MOUNTAIN VIEW COLL-ILLINOIS STA.,null,3,null,0099CC,FFFFFF
18981,DART,451,FOREST LN STA/N.W. PLANO P&R,null,3,null,0099CC,FFFFFF
18982,DART,452,PARKER ROAD/N.W. PLANO P&R,null,3,null,0099CC,FFFFFF
18983,DART,453,SW CENTER MALL/PARKLAND STATION,null,3,null,0099CC,FFFFFF
18984,DART,463,ADDISON/DT GARLAND STA,null,3,null,0099CC,FFFFFF
18985,DART,466,SW CTR MALL-BUCKNER STATION,null,3,null,0099CC,FFFFFF
18986,DART,467,BUCKNER STATION/SOUTH GARLAND,null,3,null,0099CC,FFFFFF
18987,DART,475,LAKE JUNE/LAKE HIGHLAND,null,3,null,0099CC,FFFFFF
18988,DART,486,DT GARLAND/ROYAL LANE STATION,null,3,null,0099CC,FFFFFF
18989,DART,488,LBJ/SKILLMAN STA/BROOKHAVEN COLLEGE,null,3,null,0099CC,FFFFFF
18990,DART,500,BELTLINE STATION-FREEPORT,null,3,null,663399,FFFFFF
18991,DART,501,DOWNTOWN IRVING/URBAN CTR. STATION,null,3,null,663399,FFFFFF
